asin	relation	attribute
0425286517	description	Since the release of her debut contemporary romance novel, Off Sides, in January 2013, Sawyer Bennett has released multiple books, many of which have appeared on the New York Times, USA Today, and Wall Street Journal bestseller lists.  A reformed trial lawyer from North Carolina, Sawyer uses real-life experience to create relatable, sexy stories that appeal to a wide array of readers. From new adult to contemporary romance, she writes something for just about everyone.  Sawyer likes her Bloody Marys strong, her martinis dirty, and her heroes a combination of the two. When not bringing fictional romance to life, Sawyer is a chauffeur, stylist, chef, maid, and personal assistant to a very active daughter, as well as a full-time servant to her adorably naughty dogs. She believes in the good of others and that a bad day can be cured with a great workout, cake, or even better, both.  Sawyer also writes general and womens fiction under the pen name S. Bennett and sweet romance under the name Juliette Poe.
0451419707	title	On Dublin Street (On Dublin Street Series)
0451419707	description	This is a really sexy book and I loved the heroines journey to find herself and grow strong. Highly recommend this one.USA Todays Happily Ever After Blog
0451419707	description	Youngs voice is riveting and once I opened the book, I wanted to hang a 'do not disturb' sign around my neck until I was finished. This book definitely landed on my 2012 top picks!Fiction Vixen
0451419707	description	This book had some funny dialogue, some amazingly hot sex scenes, and emotional drama. Did I mention the amazing sex scenes?Dear Author
0451419707	description	This book is fun. Sexy. A little dark. While the hero is extremely dominant, he also shows his softer side just when she needs it.Smexy Books
0451419707	description	Every page sizzles when these two get together, but this book is so much more than a hot romp. This book has heart  and lots of itIF you want a book that will lure you in, grab you by the scruff of the neck and never let you go until you finish reading the last page, then On Dublin Street is the book for you.totallybookedblog.com
0451419707	description	Brilliantly written with just the right amount of hotness, sexiness and romance and everything else in between.onceuponatwilight.com
0451419707	description	Samantha Young is a Scottish book addict who graduated from the University of Edinburgh.
0451466683	title	Before Jamaica Lane (On Dublin Street Series)
0451466683	description	"Praise for On Dublin Street:This book had some funny dialogue, some amazingly hot sex scenes, and emotional drama. Did I mention the amazing sex scenes?Dear AuthorThis is a really sexy book and I loved the heroines journey to find herself and grow strong. Highly recommend this one.USA Today Happily Ever AfterYoungs voice is riveting, and once I opened the book, I wanted to hang a do not disturb sign around my neck until I was finished. This book definitely landed on my 2012 top picks!Fiction Vixen Book ReviewsThis book is fun. Sexy. A little dark. While the hero is extremely dominant, he also shows his softer side just when she needs it.Smexy Books Romance ReviewsEvery page sizzles when these two get together, but this book is so much more than a hot romp. This book has heartand lots of it....If you want a book that will lure you in, grab you by the scruff of the neck, and never let you go until you finish reading the last page, then On Dublin Street is the book for you.Totally BookedBrilliantly written with just the right amount of hotness, sexiness, and romance and everything else in between.Once Upon A TwilightThe chemistry between Jocelyn and Braden was on fire. The characters were believable and more importantly they were lovableone of the best books I have read in 2012!Rainy Day ReadsThis book has it allromance, fabulously written heat, family, friendship, heartbreak, longing, hope, and an ending that is completely satisfyingBookish TemptationsLots of heart makes this book an absolute page-turner.RT Book Reviews""Heart-melting romance... exasperation and angst, made for an excellently balanced, all-consuming read.""Maryse's Book Blog"
0451466683	description	Samantha Young is a Scottish book addict who graduated from the University of Edinburgh. She is the New York Times bestselling author of On Dublin StreetandDown London Road.
0451468287	title	Torn (The Connections Series)
0451468287	description	Praise for ConnectedI was pulled in from the first word and felt every emotionAn incredibly emotional, romantic, sexy, and addictive read.Samantha Young, New York Times bestselling author of Down London RoadEmotional, unpredictable, and downright hot.K.A. Tucker, author of Ten Tiny BreathsThis book had all my favorite things. Sweet, all-consuming romance, smart and real characters, and just enough of every emotion to keep me unable to put the book down. This was one of those holy-smokes kind of books!Shelly Crane, New York Times bestselling author of SignificanceIts been two weeks since I finished Connected and Dahlia and River are still in my head.Bookaholics Blog (5 stars)I am now in awe of Kim Karr.Shh Moms ReadingI cant say enough about this book! I LOVED IT! You will be sighing, swooning, and smiling often but you will also be crying, yelling and you will have your jaw drop to the floor once or twice.The Book EnthusiastI cant wait for more of [Karrs] books!Aestas Book BlogGrabbed my attention and held onto it from beginning to endThe romance, the heat, the angst, the storytelling and the characters are all captivating and very well-balanced.Bookish TemptationsA sexy, emotional and wonderfully romantic debutKim Karr has a fantastic voice which will only continue to grow and refine.Swept Away by Romance
0451468287	description	Kim Karris the author of the popular Connections series, includingConnectedand its sequel, Torn. Shelives in Florida with her husband and four kids. Shes always had a love for books and recently decided to embrace one of her biggest passionswriting.
0451468279	title	Connected (The Connections Series)
0451468279	description	Praise forConnectedI was pulled in from the first word and felt every emotionAn incredibly emotional, romantic, sexy, and addictive read.Samantha Young, New York Times bestselling author of Down London RoadEmotional, unpredictable, and downright hot.K.A. Tucker, author of Ten Tiny BreathsThis book had all my favorite things. Sweet, all-consuming romance, smart and real characters, and just enough of every emotion to keep me unable to put the book down. This was one of those holy-smokes kind of books!Shelly Crane, New York Times bestselling author of SignificanceIts been two weeks since I finished Connected and Dahlia and River are still in my head.Bookaholics Blog (5 stars)I am now in awe of Kim Karr.Shh Moms ReadingI cant say enough about this book! I LOVED IT! You will be sighing, swooning, and smiling often but you will also be crying, yelling and you will have your jaw drop to the floor once or twice.The Book EnthusiastI cant wait for more of [Karrs] books!Aestas Book BlogGrabbed my attention and held onto it from beginning to endThe romance, the heat, the angst, the storytelling and the characters are all captivating and very well-balanced.Bookish TemptationsA sexy, emotional and wonderfully romantic debutKim Karr has a fantastic voice which will only continue to grow and refine.Swept Away by Romance
0451468279	description	0
0451467965	title	Come to Me Quietly (Closer to You)
0451467965	description	Praise for A.L. Jacksons novelsExquisite, beautiful, poignantA.L. Jackson is in a league of her own!S.C. Stephens, #1New York Timesbestselling author ofRecklessA devastatingly beautiful story of love, grief, and healing. Every emotion on the page will grip at your heart, and leave you stuck in the characters lives for days after.Molly McAdams,New York Timesbestselling author.
0451467965	description	Come To Me Quietlyis a riveting tale of loss, two souls destined to be together and discovering strength in forgiving ones self from regrets keeping them chained to finding true happiness. Simply breathtaking.Gail McHugh,New York TimesBestselling Authors ofCollideandPulseA.L. Jackson has written such an emotionally impactful story that grabs you right from the start.Kim Karr, author ofTornA.L. Jackson delivered another emotionally driven love story. I was captivated from the first page until the last.RomanceLoversBookBlogOh this book was amazing. I know I gush like a school girl, but I cannot contain myself when I find a story that leaves me clutching its pages to my heart.Tinas Book ReviewsCan A.L. Jackson write anything but excellence? Not in my eyes!...5 star perfection!Madison Says
0451467965	description	A. L. Jackson spends her days writing in Southern Arizona where she lives with her husband and three beautiful children. She is the author of Lost to You, When We Collide, Take This Regret, and Pulled.
045147242X	title	Rival (The Fall Away Series)
045147242X	description	"""As gripping as it was sexy!Witty dialogue, great chemistry and a great plot make Rival a book you don't want to end.""  #1New York TimesBestselling Author Colleen HooverA gritty, racy new adult tale peppered with raw emotions. This smoking-hot, action-packed story is a powerful addition to the edgy side of the genre, and readers will eagerly anticipate the next installment.  Publishers Weekly (starred review)Bully, the first book in Douglas new adult romance Fall Away series, was a self-published sensation, andRival, the latest installment, is bound to capture even more readers with its intensely emotional writing,angst-driven plot, and abundance of steamy sex scenes. Booklist"
045147242X	description	"Praise for Bully:""Bully was a wonderfully addictive read that kept my heart racing from start to finish. I could not put it down! 5 stars!!""Aesta's Book Blog""A heated and passionate novel, full of feeling and intensity that will appeal to the reader seeking an emotional rush.IndieReader.com"
045147242X	description	Penelope Douglas is a writer and teacher in Las Vegas. Born in Dubuque, Iowa, she earned a Bachelor's degree in Public Administration, then a Masters of Science in Education at Loyola University in New Orleans. She and her husband have one daughter. She is the author ofBullyandUntil You.
0451473922	title	Slow Burn (A Driven Novel)
0451473922	description	"Praise for the Novels of K. Bromberg""Captivating, emotional and sizzling hot!""  #1 New York Times Bestselling Author S.C. StephensK. Bromberg is nothing short of an absolute genius.Romance Addiction[A] highly emotional, yet satisfying series, oh, and let me not leave out SEXY.Guilty Pleasures Book ReviewsWell-written and with a great balance of dialogue and description.Love Between the SheetsAn emotionally charged, adrenaline-filled, steamy, and passionate read....K. Bromberg deliver[s].TotallyBookedBlog"
0451473922	description	K. Bromberg is the New York Times and USA Today bestselling author of the Driven Trilogy (Driven, Crashed, and Fueled). K. lives in Southern California with her husband and three children. When she needs a break from the daily chaos of her life, you can most likely find her on the treadmill or with e-reader in hand devouring a good, saucy book.
0451472446	title	Falling Away (The Fall Away Series)
0451472446	description	"Praise for the Fall Away series""I read this book in one sitting. Rival was as gripping as it was sexy.""#1 New York Times Bestselling Author Colleen HooverA gritty, racy new adult tale peppered with raw emotions. This smoking-hot, action-packed story is a powerful addition to the edgy side of the genre, and readers will eagerly anticipate the next installment. Publishers Weekly(starred review)Bully, the first book in Douglas new adult romance Fall Away series, was a self-published sensation, andRival, the latest installment, is bound to capture even more readers with its intensely emotional writing,angst-driven plot, and abundance of steamy sex scenes.BooklistBully was a wonderfully addictive read that kept my heart racing from start to finish. I could not put it down! 5 stars!!Aestas Book BlogA heated and passionate novel, full of feeling and intensity that will appeal to the reader seeking an emotional rush.IndieReader"
0451472446	description	Penelope Douglas is the New York Times bestselling author of the Fall Away series, including Rival, Bully, and Until You.
0451475607	title	Hero
0451475607	description	PRAISE FORHEROFan-favorite Young's newest offering is full of her trademark emotional intensity and dangerous, sizzling tension.Romantic TimesBlazingly hot.Publishers WeeklyPRAISE FOR THE NEW YORK TIMESAND USA TODAY BESTSELLINGON DUBLIN STREET SERIESSamantha Young is not an author you should miss!Fresh FictionReally sexy.USA TodayRiveting.Fiction VixenWonderfully written.Under the CoversRidiculously incendiary chemistry.Dear Author
0451475607	description	Samantha Young is the New York Times and USA Today bestselling author of the On Dublin Street series, includingEchoes of Scotland Street,Fall from India Place, andBefore Jamaica Lane. She resides in Scotland.
0451476816	title	Hard Beat (A Driven Novel)
0451476816	description	"Bromberg expertly captures the voice of a man caught between his tender heart and macho confidenceA surprise ending adds another twist to this gripping journey in a dangerous land.Publishers Weekly (starred review)Praise for the Novels of K. Bromberg""Bromberg is a master at turning up the heat.""New York Timesbestselling author Katy EvansK. Bromberg is nothing short of an absolute genius.Romance AddictionIrresistibly hot.#1 New York Times bestselling author Jennifer L. ArmentroutAn emotionally charged, adrenaline-filled, steamy, and passionate read.TotallyBookedBlog"
0451476816	description	K. Bromberg is the New York Times and USA Today bestselling author of the Driven series, including Sweet Ache and Slow Burn. K. lives in Southern California with her husband and three children. When she needs a break from the daily chaos of her life, you can most likely find her on the treadmill or with e-reader in hand devouring a good, saucy book.
0451477111	title	Until You (The Fall Away Series)
0451477111	description	Fans of Bully will not be disappointed with Until You. Penelope Douglas delivers big time.As the Pages Turn blogThis is truly one of the most unique love stories I have reada MUST read! Jared and Tate are true soul mates and their love story is heartbreakingly beautiful.LiteratiBookReviews.comAbsolutely electric.ReadLoveLust.comOh lord. This book. THIS. BOOK. I am completely head over heels in LOVE, and its all because of a boy named Jared.BookLovers LaceyCatA must read[Douglas] will just completely blow you away, again. Her writing is phenomenal and she is most definitely one of my favorite authors.HopelessBookLovers
0451477111	description	Penelope Douglas is aNew York Timesbestselling author of the Fall Away series, and a teacher in Las Vegas. She and her husband have one daughter.
0451477286	title	Misconduct
0451477286	description	Praise for MisconductThis whole book is HOT. Penelope Douglas just keepsgetting better and better.New York Times bestselling author Samantha YoungDouglas fills this stunning, brazenly erotic contemporary with high-stakes passion, addictive tension, and spirited bantering.Publishers Weekly (starred review)  A memorable, well matched pair...sizzling chemistry makes this book everything a red-hot romance should be.RT Book ReviewsPraise for the Fall Away series Passion and anger simmer on the page, turning love into a battlefield...Downright explosive.Publishers Weekly [A] powerfully written contemporary love story.Booklist A heated and passionate novel, full of feeling and intensity that will appeal to the reader seeking an emotional rush.IndieReader As gripping as it was sexy.#1New York Times bestselling author Colleen Hoover
0451477286	description	Penelope Douglas is a writer and teacher in Las Vegas. She is the author of the New York Times bestselling Fall Away series, includingFalling Away,Rival, Until You, andBully.Born in Dubuque, Iowa, she earned a Bachelor's degree in Public Administration, then a Masters of Science in Education at Loyola University in New Orleans. She and her husband have one daughter.
0578141809	title	Bang: Black Lotus #1 (Volume 1)
0578141809	description	USA Today bestselling author and International bestselling author, E.K. Blair takes her readers on an emotional roller coaster with her dynamic and intense writing style. Noted for her ability to create fleshed-out characters that will evoke a realm of reactions, you can be assured that her stories will linger with you far beyond the last word. A former first grade teacher with an imagination that runs wild. Daydreaming and zoning out is how she was often found in high school. Blair tends to drift towards everything dark and moody. Give her a character and she will take pleasure in breaking them down, digging into their core to find what lies underneath. Aside from writing, E.K. Blair finds pleasure in music, drinking her Starbucks in peace, and spending time with her friends. Shes a thinker, an artist, a wife, a mom, and everything in between.
0615429505	title	Captive in the Dark: The Dark Duet
0615429505	description	Captive in the Dark is CJ Roberts' debut novel. Prior to trying her hand at writing, she served ten years as an enlisted person in the United States Air Force. Originally from North Hollywood, California, she currently resides in Rapid City, South Dakota with her husband and daughter.
0615680046	title	Seduced in the Dark: The Dark Duet (Volume 2)
0615680046	description	CJ Roberts is an independent writer. She favors dark and erotic stories with taboo twists and her work has been called both sexy and disturbing in the same sentence. She was born and raised in Southern California. Following high school, she joined the U.S. Air Force in 1998, served ten years and traveled the world. Her favorite part of traveling is seeking out the seedy underbelly of the city. She is married to an amazing and talented man who never stops impressing her; they have one beautiful daughter.
0615741932	title	In Flight (Up In The Air) (Volume 1)
0615741932	description	R.K. Lilley has been a writer since she can remember, but has held down some interesting jobs to pay the bills. For several years she was a first class flight attendant, and she always swore that she just had to write a book about it. Mixing her love of romance and all things BDSM, the Up In The Air trilogy is her debut into the world of contemporary romance and erotica. She is currently working on the final installment in the series. You can contact R.K. at Authorrklilley@gmail.com Visit her Facebook page to keep up-to-date on what she's working on. https://www.facebook.com/authorrklilley And check out her website http://www.rklilley.com R.K. also writes urban fantasy under the pseudonym: Rebecca K. Lilley
0615764037	title	Rock Chick Rescue (Volume 2)
0615764037	description	Kristen Ashley grew up in Indiana, but has lived in Colorado and the West Country of England. Thus she has been blessed to have friends and family around the globe. Her posse is loopy (to say the least), but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, growing up in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0615766412	title	Raid: An Unfinished Hero Novel (Unfinished Heroes) (Volume 3)
0615766412	description	Kristen Ashley grew up in Indiana but has lived in Colorado and the West Country of England. Thus she has been blessed to have friends and family around the globe. Her posse is loopy (to say the least) but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, growing up in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
061579615X	title	Damaged (Volume 1)
061579615X	description	New York Times bestselling author HM Ward continues to reign as the queen of independent publishing. She is swiftly approaching 10 MILLION copies sold, placing her among the literary titans. Articles pertaining to Ward's success have appeared in The New York Times, USA Today, and Forbes to name a few. This native New Yorker resides in Texas with her family, where she enjoys working on her next book.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615803830	title	Knight (Unfinished Heroes) (Volume 1)
0615803830	description	Kristen Ashley grew up in Indiana, but has lived in Colorado and the West Country of England. Thus she has been blessed to have friends and family around the globe. Her posse is loopy (to say the least), but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, growing up in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0615803873	title	Creed (Unfinished Heroes) (Volume 2)
0615803873	description	Kristen Ashley grew up in Indiana, but has lived in Colorado and the West Country of England. Thus she has been blessed to have friends and family around the globe. Her posse is loopy (to say the least), but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, growing up in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0615827446	title	The Arrangement 3 (Volume 3)
0615827446	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615827500	title	The Arrangement 4 (Volume 4)
0615827500	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615826814	title	Damaged 2 (Volume 2)
0615826814	description	New York Times bestselling author HM Ward continues to reign as the queen of independent publishing. She is swiftly approaching 10 MILLION copies sold, placing her among the literary titans. Articles pertaining to Ward's success have appeared in The New York Times, USA Today, and Forbes to name a few. This native New Yorker resides in Texas with her family, where she enjoys working on her next book.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615827837	title	The Arrangement 5 (Volume 5)
0615827837	description	H.M. Ward continues to reign as a NEW YORK TIMES bestselling author who is swiftly approaching 13 million copies sold, placing her among the literary titans. Ward has been featured in articles in the NEW YORK TIMES, FORBES, and USA TODAY to name a few.   You can interact with this bestselling author at: www.facebook.com/AuthorHMWard. Text HMWARD to 24587 and get a text reminder on release & sale days.
0615849601	title	STRIPPED
0615849601	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615859763	title	The Arrangement 9: The Ferro Family (Volume 9)
0615859763	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615860826	title	The Arrangement Vol. 8: The Ferro Family (Volume 8)
0615860826	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615860788	title	The Arrangement Vol. 7: The Ferro Family (Volume 7)
0615860788	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615861326	title	The Arrangement Vol. 6: The Ferro Family (Volume 6)
0615861326	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615887767	title	Found In You (Fixed - Book 2) (Fixed Series) (Volume 2)
0615887767	description	"""Found In You was an addictive, fast-paced, steamy ride that kept me turning the pages as fast as I could!! Readers who loved the first book will most certainly fall in love with this one too! ★★★★★"" Aestas Book Blog""This was a perfect sequel to Fixed On You in every way possible - I don't think I could love it more if I tried. ★★★★★"" True Story Book Blog""Fixed On You captivated me. Found In You hypnotized me. ★★★★★"" Novels in Heels"
0615887767	description	Found In Youwas an addictive, fast-paced, steamy ride that kept me turning the pages as fast as I could!! Readers who loved the first book will most certainly fall in love with this one too! - Aestas Book Blogger
061589285X	title	The Arrangement 10: The Ferro Family (The Arrangement (Ferro Family)) (Volume 10)
061589285X	description	"""This was AMAZING, not since reading Fifty Shades and Bared To You, have I devoured a book so quickly and in one sitting.""-Lousia""Ever since 50 Shades of Grey, I have plunge into the romance genre head on! I have found that H.M.Ward's Ferro Family Series to be much better. It is more entertaining, has more drama, more romance, and a better story line.""-NYToy""This series is a must read, better then Fifty Shades.""-Jeff Cook""If you like 50 shades of Grey, Surrender, or the Ex games then you will love The Arrangement""-B"
061589285X	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST. You can interact with this bestselling author at: www.facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0615910521	title	The Arrangement 11: The Ferro Family (Volume 11)
0615910521	description	H.M. Ward is the #1 bestselling New Adult author in the world, having sold over 2 million books in 2013. This NEW YORK TIMES, WALL STREET JOURNAL, USA TODAY, and Amazon #1 bestselling writer's series include: THE FERRO FAMILY: DAMAGED, THE ARRANGEMENT, and STRIPPED; as well as SCANDALOUS, TRYSTAN SCOTT, and SECRETS. Ward was recently featured in FORBES, the WALL STREET JOURNAL, and the WASHINGTON POST.You can interact with this bestselling author at: facebook.com/AuthorHMWard. Don't want to miss a release date: Text AWESOMEBOOKS to 22828 and get an email reminder on release dates.
0692208879	title	The Will (The Magdalene Series) (Volume 1)
0692208879	description	Kristen Ashley grew up in Indiana, but has lived in Colorado and the West Country of England. Thus she has been blessed to have friends and family around the globe. Her posse is loopy (to say the least), but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, growing up in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0692280200	title	Deacon (Unfinished Heroes) (Volume 4)
0692280200	description	Kristen Ashley grew up in Brownsburg, Indiana but has lived in Denver, Colorado and the West Country of England. Thus she has been blessed to have friends and family around the globe. Her posse is loopy (to say the least) but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, growing up in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
069232366X	title	For You (The 'Burg Series)
069232366X	description	Kristen Ashley grew up in Brownsburg, Indiana but has lived in Denver, Colorado and the West Country of England. Thus she has been blessed to have friends and family around the globe. Her posse is loopy (to say the least) but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, growing up in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0692352856	title	At Peace (The 'Burg Series)
0692352856	description	Kristen Ashley is a New York Times and USA Today bestselling author. She grew up in Indiana, but has lived in Colorado and the West Country of England. Thus shes been blessed to have friends and family around the globe. Her posse is loopy (to say the least), but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, living in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0692374035	title	Soaring (The Magdalene Series) (Volume 2)
0692374035	description	Kristen Ashley is a New York Times and USA Today bestselling author. She grew up in Indiana, but has lived in Colorado and the West Country of England. Thus shes been blessed to have friends and family around the globe. Her posse is loopy (to say the least), but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, living in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0692467459	title	Hold On (The 'Burg Series) (Volume 6)
0692467459	description	Kristen Ashley is a New York Times and USA Today bestselling author. She grew up in Indiana, but has lived in Colorado and the West Country of England. Thus shes been blessed to have friends and family around the globe. Her posse is loopy (to say the least), but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, living in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0692573763	title	Sebring (Unfinished Heroes) (Volume 5)
0692573763	description	Kristen Ashley is a New York Times and USA Today bestselling author. She grew up in Indiana, but has lived in Colorado and the West Country of England. Thus shes been blessed to have friends and family around the globe. Her posse is loopy (to say the least), but loopy is good when you want to write. Kristen was raised in a house with a large and multi-generational family. They lived on a very small farm in a small town in the heartland and existed amongst the strains of Glenn Miller, The Everly Brothers, REO Speedwagon and Whitesnake (and the wardrobes that matched). Needless to say, living in a house full of music, clothes and love was a good way to grow up. And as she keeps growing up, it keeps getting better.
0692909028	title	Forever My Girl (The Beaumont Series) (Volume 1)
